time,latitude,longitude,magnitude
2015-12-30 01:53:45.550,34.1876667,-117.408,3.77
2016-01-02 05:11:46.620,40.3083333,-124.6871667,4.44
2016-01-03 15:35:23.944,41.8685,-119.6,4.1
2016-01-06 14:42:34.880,33.9585,-116.8883333,4.39
2016-01-07 05:49:52.430,40.2731667,-124.3395,4.31
2016-01-07 08:29:28.830,40.278,-124.324,3.66
2016-01-14 04:23:58.850,35.4056667,-117.8098333,3.61
2016-01-19 10:21:06.950,34.692,-116.2368333,3.65
2016-01-24 15:32:16.360,34.6971667,-116.2391667,4.11
2016-02-04 07:20:58.120,35.4606667,-119.9756667,3.51
2016-02-08 06:20:42.400,35.4643333,-119.9733333,3.54
2016-02-15 15:42:52.610,37.5713333,-118.8573333,3.74
2016-02-16 09:24:20.700,34.3026667,-116.8633333,3.87
2016-02-16 23:04:26.910,37.2023333,-118.4035,4.77
2016-02-16 23:27:31.020,37.2023333,-118.3998333,4.31
2016-02-20 06:13:20.330,34.6098333,-116.6288333,4.31
2016-02-23 03:19:52.940,34.6943333,-116.2428333,4.1
2016-02-24 00:02:23.630,35.5423333,-119.3728333,4.87
2016-03-03 02:57:19.443,41.8535,-119.6246,3.5
2016-03-12 08:42:40.300,34.5216667,-119.0748333,4.13
2016-03-19 21:20:32.380,38.8485,-122.758,3.73
2016-03-21 07:37:10.535,38.4792,-118.3662,4.3
2016-03-22 10:00:45.356,38.6555,-118.7841,4.1
2016-03-24 02:14:21.472,41.9048,-119.6056,3.5
2016-04-06 11:44:20.180,34.0788333,-119.2903333,3.51
2016-04-08 12:58:31.010,38.8263333,-122.8495,3.77
2016-05-05 13:49:30.490,36.462,-114.0263,3.8
2016-05-05 23:11:45.008,40.6519,-119.5093,3.5
2016-05-08 08:53:19.067,40.7593,-119.2499,3.6
2016-05-12 05:29:55.440,38.8158333,-122.8206667,3.83
2016-05-14 14:20:30.755,40.6519,-119.4521,3.9
2016-05-17 07:27:41.749,41.8977,-119.6286,3.5
2016-05-17 22:58:06.000,35.9686667,-120.5261667,3.5
2016-06-01 20:57:01.868,41.8765,-119.6301,3.6
2016-06-03 07:19:42.565,39.5895,-115.8242,4.0
2016-06-10 08:04:38.700,33.4315,-116.4426667,5.19
2016-06-10 08:05:35.800,33.4425,-116.405,3.75
2016-06-15 10:12:23.759,38.7212,-117.8439,3.5
2016-06-16 17:02:02.530,34.0723333,-116.3785,3.53
2016-06-21 21:55:47.400,32.9735,-115.5718333,3.89
2016-07-07 12:55:25.250,32.909,-115.5313333,3.76
2016-07-07 23:14:40.556,38.6539,-118.7984,4.3
2016-07-07 23:40:45.777,38.6516,-118.7943,4.5
2016-07-18 05:53:31.160,36.6898333,-121.3251667,3.84
2016-07-18 09:27:25.020,37.0295,-121.1981667,3.68
2016-07-19 21:38:38.910,36.6925,-121.3296667,4.22
2016-07-19 21:39:20.380,36.697,-121.3413333,3.93
2016-07-21 23:09:05.780,40.7243333,-123.8918333,4.81
2016-07-31 16:21:05.830,32.9583333,-115.7605,4.03
