Model,Accuracy,Precision,Recall,F1,ROC-AUC
Shallow CNN,0.9023255813953488,0.0,0.0,0.0,0.5043262150220913
Standard CNN,0.16162790697674417,0.10037641154328733,0.9523809523809523,0.18161180476730987,0.43730823514973
Deep CNN,0.8848837209302326,0.058823529411764705,0.011904761904761904,0.019801980198019802,0.5100331369661266
