Model,Accuracy,Precision,Recall,F1,ROC-AUC
Shallow LSTM,0.7162790697674418,0.7859154929577464,0.6241610738255033,0.6957605985037406,0.7800672765978192
Standard LSTM,0.6755813953488372,0.9242424242424242,0.40939597315436244,0.5674418604651162,0.7955484776096765
Bidirectional LSTM,0.6976744186046512,0.8816326530612245,0.48322147651006714,0.6242774566473989,0.7525391228041665
GRU,0.6802325581395349,0.7171717171717171,0.6353467561521253,0.6737841043890866,0.7387696291120247
